0 ITERATION. BEST CHROMOSOMES:Chromosome:     25 | Fitness: 0.776208
1 ITERATION. BEST CHROMOSOMES:Chromosome:     25 | Fitness: 0.776208
2 ITERATION. BEST CHROMOSOMES:Chromosome:     25 | Fitness: 0.776208
3 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 0.885975
4 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 0.885975
5 ITERATION. BEST CHROMOSOMES:Chromosome:     18 | Fitness: 0.913295
6 ITERATION. BEST CHROMOSOMES:Chromosome:     18 | Fitness: 0.913408
7 ITERATION. BEST CHROMOSOMES:Chromosome:     18 | Fitness: 0.913408
8 ITERATION. BEST CHROMOSOMES:Chromosome:     18 | Fitness: 0.913408
9 ITERATION. BEST CHROMOSOMES:Chromosome:     18 | Fitness: 0.913408
10 ITERATION. BEST CHROMOSOMES:Chromosome:     18 | Fitness: 0.913408
11 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 0.913776
12 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 0.913776
13 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 0.913776
14 ITERATION. BEST CHROMOSOMES:Chromosome:     28 | Fitness: 0.935787
15 ITERATION. BEST CHROMOSOMES:Chromosome:     29 | Fitness: 0.954706
16 ITERATION. BEST CHROMOSOMES:Chromosome:     29 | Fitness: 0.954706
17 ITERATION. BEST CHROMOSOMES:Chromosome:     29 | Fitness: 0.954706
18 ITERATION. BEST CHROMOSOMES:Chromosome:     29 | Fitness: 0.954706
19 ITERATION. BEST CHROMOSOMES:Chromosome:     39 | Fitness: 0.955246
20 ITERATION. BEST CHROMOSOMES:Chromosome:     39 | Fitness: 0.955246
21 ITERATION. BEST CHROMOSOMES:Chromosome:     39 | Fitness: 0.955246
22 ITERATION. BEST CHROMOSOMES:Chromosome:     39 | Fitness: 0.955246
23 ITERATION. BEST CHROMOSOMES:Chromosome:     39 | Fitness: 0.955246
24 ITERATION. BEST CHROMOSOMES:Chromosome:     39 | Fitness: 0.955246
25 ITERATION. BEST CHROMOSOMES:Chromosome:     12 | Fitness: 0.956316
26 ITERATION. BEST CHROMOSOMES:Chromosome:      1 | Fitness: 0.956316
27 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.956371
28 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.956371
29 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.956371
30 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.956371
31 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 0.997793
32 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 0.997793
33 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 0.997793
34 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 0.997793
35 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 0.997793
36 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 0.997793
37 ITERATION. BEST CHROMOSOMES:Chromosome:      4 | Fitness: 0.997800
38 ITERATION. BEST CHROMOSOMES:Chromosome:      4 | Fitness: 0.997800
39 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
40 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
41 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
42 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
43 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
44 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
45 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
46 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
47 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
48 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
49 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
50 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
51 ITERATION. BEST CHROMOSOMES:Chromosome:     15 | Fitness: 0.997800
52 ITERATION. BEST CHROMOSOMES:Chromosome:     10 | Fitness: 0.997800
53 ITERATION. BEST CHROMOSOMES:Chromosome:     10 | Fitness: 0.997800
54 ITERATION. BEST CHROMOSOMES:Chromosome:     20 | Fitness: 0.997804
55 ITERATION. BEST CHROMOSOMES:Chromosome:     20 | Fitness: 0.997804
56 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
57 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
58 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
59 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
60 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
61 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
62 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
63 ITERATION. BEST CHROMOSOMES:Chromosome:     32 | Fitness: 0.997804
64 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.999563
65 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.999563
66 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.999563
67 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 0.999563
68 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
69 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
70 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
71 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
72 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
73 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
74 ITERATION. BEST CHROMOSOMES:Chromosome:     26 | Fitness: 1.000000
75 ITERATION. BEST CHROMOSOMES:Chromosome:     27 | Fitness: 1.000000
76 ITERATION. BEST CHROMOSOMES:Chromosome:     27 | Fitness: 1.000000
77 ITERATION. BEST CHROMOSOMES:Chromosome:     27 | Fitness: 1.000000
78 ITERATION. BEST CHROMOSOMES:Chromosome:     27 | Fitness: 1.000000
79 ITERATION. BEST CHROMOSOMES:Chromosome:     27 | Fitness: 1.000000
80 ITERATION. BEST CHROMOSOMES:Chromosome:     27 | Fitness: 1.000000
81 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
82 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
83 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
84 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
85 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
86 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
87 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
88 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
89 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
90 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
91 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
92 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
93 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
94 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
95 ITERATION. BEST CHROMOSOMES:Chromosome:     24 | Fitness: 1.000000
