0 ITERATION. BEST CHROMOSOMES:Chromosome:      1 | Fitness: 1.759712
1 ITERATION. BEST CHROMOSOMES:Chromosome:     14 | Fitness: 2.484238
2 ITERATION. BEST CHROMOSOMES:Chromosome:     14 | Fitness: 2.484238
3 ITERATION. BEST CHROMOSOMES:Chromosome:     14 | Fitness: 2.484238
4 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.551683
5 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.754310
6 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.763000
7 ITERATION. BEST CHROMOSOMES:Chromosome:     22 | Fitness: 2.765567
8 ITERATION. BEST CHROMOSOMES:Chromosome:     22 | Fitness: 2.765567
9 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
10 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
11 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
12 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
13 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
14 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
15 ITERATION. BEST CHROMOSOMES:Chromosome:      7 | Fitness: 2.774257
16 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.798673
17 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.798673
18 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.798673
19 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.798673
20 ITERATION. BEST CHROMOSOMES:Chromosome:     30 | Fitness: 2.798673
21 ITERATION. BEST CHROMOSOMES:Chromosome:     21 | Fitness: 2.799168
22 ITERATION. BEST CHROMOSOMES:Chromosome:     21 | Fitness: 2.799168
23 ITERATION. BEST CHROMOSOMES:Chromosome:     36 | Fitness: 2.804639
24 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.870771
25 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.870771
26 ITERATION. BEST CHROMOSOMES:Chromosome:     38 | Fitness: 2.871266
27 ITERATION. BEST CHROMOSOMES:Chromosome:     38 | Fitness: 2.871266
28 ITERATION. BEST CHROMOSOMES:Chromosome:     17 | Fitness: 2.876737
29 ITERATION. BEST CHROMOSOMES:Chromosome:     17 | Fitness: 2.876737
30 ITERATION. BEST CHROMOSOMES:Chromosome:     17 | Fitness: 2.876737
31 ITERATION. BEST CHROMOSOMES:Chromosome:     17 | Fitness: 2.876737
32 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
33 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
34 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
35 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
36 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
37 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
38 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
39 ITERATION. BEST CHROMOSOMES:Chromosome:      6 | Fitness: 2.876737
40 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 2.876971
41 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 2.876971
42 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 2.876971
43 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 2.876971
44 ITERATION. BEST CHROMOSOMES:Chromosome:      3 | Fitness: 2.876971
45 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
46 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
47 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
48 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
49 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
50 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
51 ITERATION. BEST CHROMOSOMES:Chromosome:     31 | Fitness: 2.876971
52 ITERATION. BEST CHROMOSOMES:Chromosome:     20 | Fitness: 2.887228
53 ITERATION. BEST CHROMOSOMES:Chromosome:     20 | Fitness: 2.887228
54 ITERATION. BEST CHROMOSOMES:Chromosome:     20 | Fitness: 2.887228
55 ITERATION. BEST CHROMOSOMES:Chromosome:     20 | Fitness: 2.887228
